Confusion Matrix,,,,,,,,,,
Row ID,0,1,,,,,,,,
0,20824,13892,,,,,,,,
1,9713,31153,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Accuracy Statistics,,,,,,,,,,
TruePositives,FalsePositives,TrueNegatives,FalseNegatives,Recall,Precision,Sensitivity,Specificity,F-measure,Accuracy,Cohen's kappa
20824,9713,31153,13892,"0,6",0.682,0.6,0.762,0.638,,
31153,13892,20824,9713,"0,762",0.692,0.762,0.6,0.725,,
,,,,,,,,,0.688,0.365



The prediction model achieved an overall accuracy of 68.8% with a Cohen’s kappa of 0.365, indicating fair agreement beyond chance. Performance is stronger for Class 1, with a recall of 76.2% and F-measure of 0.725, compared to Class 0 with a recall of 60% and F-measure of 0.638. The model tends to misclassify Class 0 as Class 1 more often, suggesting a bias toward predicting Class 1
